text,emotion
Worrying about the future is exhausting.,anxious
Life is amazing right now!,excited
I am so grateful for everything!,happy
I am really anxious about my exams.,anxious
Something big is happening soon!,excited
I am feeling great today!,happy
Life is amazing right now!,excited
I am feeling great today!,happy
Something big is happening soon!,excited
Feeling joyful and blessed.,happy
I can't wait for my vacation!,excited
Something big is happening soon!,excited
It's just another normal day.,neutral
I can't wait for my vacation!,excited
Just going through the motions.,neutral
"Too much pressure, I can't handle it!",stressed
Deadlines are killing me!,stressed
Worrying about the future is exhausting.,anxious
"Too much pressure, I can't handle it!",stressed
This is the best day of my life!,happy
My mind won't stop overthinking.,anxious
This is completely unfair!,angry
I am so grateful for everything!,happy
Just going through the motions.,neutral
My mind won't stop overthinking.,anxious
Just going through the motions.,neutral
I feel nervous all the time.,anxious
"Too much pressure, I can't handle it!",stressed
Feeling joyful and blessed.,happy
Something big is happening soon!,excited
I am feeling great today!,happy
I am feeling great today!,happy
This is completely unfair!,angry
This is completely unfair!,angry
Why do people always lie?,angry
Life is amazing right now!,excited
"Everything is fine, I guess.",neutral
My mind won't stop overthinking.,anxious
I am really anxious about my exams.,anxious
I hate when things don't go my way!,angry
Life is amazing right now!,excited
I am really anxious about my exams.,anxious
My workload is overwhelming.,stressed
Deadlines are killing me!,stressed
It's just another normal day.,neutral
So thrilled about this opportunity!,excited
I am so grateful for everything!,happy
Why do people always lie?,angry
This is completely unfair!,angry
Worrying about the future is exhausting.,anxious
I feel very sad and lonely.,sad
Deadlines are killing me!,stressed
Just going through the motions.,neutral
This is completely unfair!,angry
"Too much pressure, I can't handle it!",stressed
I feel nervous all the time.,anxious
"Everything is fine, I guess.",neutral
Why does everything go wrong?,sad
I feel nervous all the time.,anxious
It's just another normal day.,neutral
I feel nervous all the time.,anxious
I am so frustrated with this situation!,angry
I just want to be alone.,sad
I have nothing special to say.,neutral
Nothing feels good anymore.,sad
Just going through the motions.,neutral
I am so frustrated with this situation!,angry
Worrying about the future is exhausting.,anxious
I am so grateful for everything!,happy
Deadlines are killing me!,stressed
I just want to be alone.,sad
Why do people always lie?,angry
I hate when things don't go my way!,angry
I am so stressed about work.,stressed
My workload is overwhelming.,stressed
This is completely unfair!,angry
"Too much pressure, I can't handle it!",stressed
I feel very sad and lonely.,sad
